alloy_id,phase_class,YS_MPa,UTS_MPa,elong_%,hardness_value,hardness_scale,test_temp_K,strain_rate_s-1
T6A4V_ar_A,alpha,979,1051,8.7,,,,
T6A4V_93060AC,alpha,1107,1186,12.6,,,,
T6A4V_96030AC,alpha,1122,1201,12.1,,,,
T6A4V_ar_B,alpha,886,997,14.7,,,,
T6A4V_91030WQ_580300AC,alpha,1025,1087,9.1,,,
T6A4VO_925240FC,alpha,1108.5,1211.3,9.1,,,,
T6A4VO_955120WQ_550300AC,alpha,1352.4,1421.7,7.2,,,,
T6C5M5V4A_800120AC_600720AC,alpha,1181,1205,13.2,,,,
T6C5M5V4A_800120AC_550720AC,alpha,1241,1288,7.6,,,,
T6C5M5V4A_800120AC_450720AC,alpha,1368,1433,5.5,,,,
T6M5V3A2F_83030WQ,alpha,755,857,9.9,,,,
T6M5V3A2F_83030WQ_470240AC,alpha,1402,1508,4.2,,,,
Ti542_BF_85060WQ,alpha,871,895,23.6,,,,
Ti542_BF_85060WQ_510240AC,alpha,1271,1399,8.7,,,,
Ti55511_AM650, alpha, 935, 1042, 19,,,,
Ti55511_AM750, alpha, 1105, 1178, 8,,,,
T2C4Z5A_BF_92060AC, alpha-p, 920, 1039, 22.8,,,,
T2C4Z5A_BF_92060WQ, alpha-p, 1266, 1413, 12.6,,,,
Ti6242_SPSs, alpha-p, 881.23, 985.22, 11.6,,,,
Ti6242_SPSs75, alpha-p,1178,1269.73,8.52,,,,
T6A4V_ar_C, alpha-p, 804, 963, 6.8,,,,
IMI 834,Near-alpha,950,1060,9,,,293,
Ti-1100,Near-alpha,920,1000,10,,,293,
Ti-60,Near-alpha,955,1010,18,,,293,
Ti-6242S,Near-alpha,900,970,12,,,293,
BT 36,Near-alpha,960,1050,10,,,293,
Ti-6Al-4V,Alpha+Beta,880,950,14,,,293,
Ti-60 (High Temp),Near-alpha,560,680,19,,,873,
Ti-6Al-4V + TiC (5-20%),Composite,,,,"850-1100",HV,293,
Ti-6Al-4V + TiB + TiC,Composite,,,,65,HRC,293,
Ti-6Al-4V + TiB (SPS),Composite,,,,450,HV,293,
Ti-6.5Al-2Zr-1Mo-1V + La2O3,Composite,,,,400,HV,293,
Ti-6Al-4V + SiC (15%),Composite,,,,500,HV,293,
Ti-6Al-4V + CNTs,Composite,,,,380,HV,293,
Near-alpha Ti + Y2O3,Composite,,,,420,HV,293,
Ti603_HR,Alpha+Beta,,,,"Ductile",Fracture,293,
Ti603_HT1,Alpha+Beta,,,,"Ductile",Fracture,293,
Ti603_HT2,Alpha+Beta,,,,"Ductile",Fracture,293,
CP-Ti_RR2.8,Alpha,,,,"Hall-Petch",Behavior,293,
CP-Ti_RR21.3,Alpha,,,,"Hall-Petch",Behavior,293,
=======
Ti_13Nb_13Zr,beta,,,,,,,
Ti_20Nb_10Zr_5Ta,beta,,,,,,,
Ti_29Nb_13Ta_4.6Zr,metastable-beta,,,,,,,
Ti_15V_3Cr_3Al_3Sn,metastable-beta,770,790,22,95,Rockwell B,298,
Ti_15Mo_3Al_3Nb_0.2Si,metastable-beta,,,,,,,

>>>>>>> 543d1a3ccf2c1b9389fdbe28bdd0cd08d6293fb0

